scheme_id,fiscal_year,revised_allocation_total,revised_allocation_fpa,estimated_expenditure,throw_forward,allocation_capital,allocation_revenue,allocation_total,allocation_fpa,financial_progress_pct_prior_year,financial_progress_pct_current_year
38,2026-2027,17.603,0.000,20.000,0.000,0.001,0.000,0.001,0.000,100.0,100.0
39,2026-2027,0.000,0.000,14.522,3.218,3.218,0.000,3.218,0.000,81.9,100.0
40,2026-2027,0.000,0.000,14.599,16.748,16.748,0.000,16.748,0.000,46.6,100.0
41,2026-2027,0.000,0.000,14.640,1.360,1.360,0.000,1.360,0.000,91.5,100.0
42,2026-2027,0.000,0.000,15.628,10.472,10.472,0.000,10.472,0.000,59.9,100.0
43,2026-2027,25.257,0.000,30.000,0.000,0.001,0.000,0.001,0.000,100.0,100.0
44,2026-2027,18.752,0.000,20.000,0.000,0.001,0.000,0.001,0.000,100.0,100.0
45,2026-2027,19.046,0.000,19.046,101.466,54.711,0.000,54.711,0.000,15.8,61.2
46,2026-2027,1.195,0.000,6.185,0.072,0.072,0.000,0.072,0.000,98.8,100.0
47,2026-2027,1.375,0.000,11.714,0.000,0.001,0.000,0.001,0.000,100.0,100.0
48,2026-2027,3.125,0.000,3.125,21.837,21.837,0.000,21.837,0.000,12.5,100.0
49,2026-2027,3.125,0.000,3.125,21.837,21.837,0.000,21.837,0.000,12.5,100.0
50,2026-2027,18.100,0.000,18.100,109.668,109.668,0.000,109.668,0.000,14.2,100.0
51,2026-2027,5.000,0.000,5.000,35.028,35.028,0.000,35.028,0.000,12.5,100.0
52,2026-2027,2.000,0.000,2.000,13.877,13.877,0.000,13.877,0.000,12.6,100.0
53,2026-2027,0.000,0.000,109.427,50.773,0.001,0.000,0.001,0.000,68.3,68.3
54,2026-2027,0.000,0.000,0.000,924.576,0.000,160.499,160.499,0.000,0.0,17.4
55,2026-2027,2.500,0.000,122.977,1246.951,0.050,0.000,0.050,0.000,9.0,9.0
56,2026-2027,50.000,0.000,283.242,306.758,1.500,0.000,1.500,0.000,48.0,48.3
57,2026-2027,15.000,0.000,132.982,56.363,1.500,0.000,1.500,0.000,70.2,71.0
58,2026-2027,100.000,0.000,525.711,218.791,218.791,0.000,218.791,0.000,70.6,100.0
59,2026-2027,15.000,0.000,48.226,150.774,1.500,0.000,1.500,0.000,24.2,25.0
60,2026-2027,62.593,0.000,144.151,49.849,1.500,0.000,1.500,0.000,74.3,75.1
61,2026-2027,50.000,0.000,339.434,430.154,10.000,0.000,10.000,0.000,44.1,45.4
62,2026-2027,70.000,0.000,237.474,303.801,303.801,0.000,303.801,0.000,43.9,100.0
63,2026-2027,2.500,0.000,35.189,96.145,79.321,16.824,96.145,0.000,26.8,100.0
64,2026-2027,25.000,0.000,61.189,89.811,1.500,0.000,1.500,0.000,40.5,41.5
65,2026-2027,20.000,0.000,67.392,132.075,1.500,0.000,1.500,0.000,33.8,34.5
66,2026-2027,10.000,0.000,34.998,163.757,79.152,0.000,79.152,0.000,17.6,57.4
67,2026-2027,10.000,0.000,35.000,163.033,80.000,0.000,80.000,0.000,17.7,58.1
68,2026-2027,20.000,0.000,128.673,67.245,1.500,0.000,1.500,0.000,65.7,66.4
69,2026-2027,0.000,0.000,0.000,528.431,1.500,0.000,1.500,0.000,0.0,0.3
70,2026-2027,3.750,0.000,25.454,158.814,60.000,0.000,60.000,0.000,13.8,46.4
71,2026-2027,25.000,0.000,82.070,115.303,1.500,0.000,1.500,0.000,41.6,42.3
72,2026-2027,5.000,0.000,104.601,82.160,1.500,0.000,1.500,0.000,56.0,56.8
73,2026-2027,1.250,0.000,10.942,182.058,1.500,0.000,1.500,0.000,5.7,6.4
74,2026-2027,15.000,0.000,227.812,224.188,1.500,0.000,1.500,0.000,50.4,50.7
75,2026-2027,30.000,0.000,95.977,94.023,1.500,0.000,1.500,0.000,50.5,51.3
76,2026-2027,70.000,0.000,151.759,44.515,1.500,0.000,1.500,0.000,77.3,78.1
77,2026-2027,10.000,0.000,10.000,30.000,1.500,0.000,1.500,0.000,25.0,28.8
78,2026-2027,50.000,0.000,95.820,95.812,1.500,0.000,1.500,0.000,50.0,50.8
79,2026-2027,30.000,0.000,75.917,123.716,1.500,0.000,1.500,0.000,38.0,38.8
80,2026-2027,40.000,0.000,83.699,112.321,1.500,0.000,1.500,0.000,42.7,43.5
81,2026-2027,30.000,0.000,65.015,133.705,1.500,0.000,1.500,0.000,32.7,33.5
82,2026-2027,25.000,0.000,31.250,165.965,1.500,0.000,1.500,0.000,15.8,16.6
83,2026-2027,153.022,0.000,197.523,0.018,0.010,0.000,0.010,0.000,100.0,100.0
84,2026-2027,1.250,0.000,1.250,198.750,1.500,0.000,1.500,0.000,0.6,1.4
85,2026-2027,138.940,0.000,198.311,0.003,0.001,0.000,0.001,0.000,100.0,100.0
86,2026-2027,38.000,0.000,92.958,106.878,1.500,0.000,1.500,0.000,46.5,47.3
87,2026-2027,12.500,0.000,12.500,87.500,63.245,24.255,87.500,0.000,12.5,100.0
88,2026-2027,0.000,0.000,0.000,1400.000,1283.331,116.669,1400.000,0.000,0.0,100.0
89,2026-2027,0.001,0.000,2868.187,177.813,0.050,0.000,0.050,0.000,94.2,94.2
90,2026-2027,20.000,0.000,731.092,716.222,400.000,0.000,400.000,0.000,50.5,78.2
91,2026-2027,30.377,0.000,236.533,215.481,1.500,0.000,1.500,0.000,52.3,52.7
92,2026-2027,30.377,0.000,79.026,119.245,1.500,0.000,1.500,0.000,39.9,40.6
93,2026-2027,30.000,0.000,71.781,110.899,1.500,0.000,1.500,0.000,39.3,40.1
94,2026-2027,0.000,0.000,0.000,300.000,5.000,0.000,5.000,0.000,0.0,1.7
95,2026-2027,5.000,0.000,239.318,87.050,5.000,0.000,5.000,0.000,73.3,74.9
96,2026-2027,0.000,0.000,563.797,187.047,0.000,15.047,15.047,0.000,75.1,77.1
97,2026-2027,37.500,0.000,841.067,76.716,62.716,14.000,76.716,0.000,91.6,100.0
98,2026-2027,579.068,0.000,2017.919,1546.487,200.000,50.000,250.000,0.000,56.6,63.6
99,2026-2027,65.000,0.000,1620.440,1133.911,125.000,25.000,150.000,0.000,58.8,64.3
100,2026-2027,30.000,0.000,71.000,121.627,75.000,0.000,75.000,0.000,36.9,75.8
101,2026-2027,50.000,0.000,295.391,697.495,60.000,0.000,60.000,0.000,29.8,35.8
102,2026-2027,14.864,0.000,813.265,0.001,0.001,0.000,0.001,0.000,100.0,100.0
103,2026-2027,140.906,0.000,409.360,419.674,50.000,0.000,50.000,0.000,49.4,55.4
104,2026-2027,32.500,0.000,2096.570,197.239,10.000,0.000,10.000,0.000,91.4,91.8
105,2026-2027,50.000,0.000,2294.635,569.950,50.000,0.000,50.000,0.000,80.1,81.8
106,2026-2027,0.000,0.000,1776.888,20.710,20.710,0.000,20.710,0.000,98.8,100.0
107,2026-2027,15.000,0.000,116.038,200.670,40.000,0.000,40.000,0.000,36.6,49.3
108,2026-2027,52.673,0.000,140.942,58.883,52.673,6.210,58.883,0.000,70.5,100.0
109,2026-2027,30.000,0.000,116.559,51.268,24.000,0.000,24.000,0.000,69.5,83.8
110,2026-2027,12.500,0.000,65.597,115.090,40.000,0.000,40.000,0.000,36.3,58.4
111,2026-2027,44.261,0.000,115.491,44.261,44.261,0.000,44.261,0.000,72.3,100.0
112,2026-2027,25.326,0.000,142.031,25.331,25.331,0.000,25.331,0.000,84.9,100.0
113,2026-2027,0.000,0.000,86.324,54.628,54.628,0.000,54.628,0.000,61.2,100.0
114,2026-2027,12.500,0.000,27.485,72.498,20.000,0.000,20.000,0.000,27.5,47.5
115,2026-2027,98.460,0.000,198.614,0.001,0.001,0.000,0.001,0.000,100.0,100.0
116,2026-2027,41.282,0.000,190.046,0.001,0.001,0.000,0.001,0.000,100.0,100.0
117,2026-2027,54.979,0.000,128.124,58.314,49.694,8.620,58.314,0.000,68.7,100.0
118,2026-2027,30.000,0.000,70.264,119.265,50.000,0.000,50.000,0.000,37.1,63.5
119,2026-2027,49.209,0.000,94.521,5.474,0.001,0.000,0.001,0.000,94.5,94.5
120,2026-2027,26.111,0.000,78.827,61.933,51.933,10.000,61.933,0.000,56.0,100.0
121,2026-2027,6.250,0.000,26.250,73.667,5.000,0.000,5.000,0.000,26.3,31.3
122,2026-2027,20.000,0.000,81.248,101.165,40.000,0.000,40.000,0.000,44.5,66.5
123,2026-2027,27.960,0.000,99.635,0.001,0.001,0.000,0.001,0.000,100.0,100.0
124,2026-2027,84.237,0.000,163.363,0.001,0.001,0.000,0.001,0.000,100.0,100.0
125,2026-2027,42.986,0.000,210.729,0.001,0.001,0.000,0.001,0.000,100.0,100.0
126,2026-2027,0.000,0.000,73.209,21.291,21.291,0.000,21.291,0.000,77.5,100.0
127,2026-2027,15.012,0.000,144.999,0.001,0.001,0.000,0.001,0.000,100.0,100.0
128,2026-2027,27.059,0.000,122.090,31.996,31.996,0.000,31.996,0.000,79.2,100.0
129,2026-2027,10.820,0.000,164.950,0.002,0.000,0.001,0.001,0.000,100.0,100.0
130,2026-2027,0.000,0.000,88.353,10.435,1.526,0.000,1.526,0.000,89.4,91.0
131,2026-2027,64.383,0.000,204.284,0.001,0.001,0.000,0.001,0.000,100.0,100.0
132,2026-2027,2.500,0.000,7.500,91.284,87.284,4.000,91.284,0.000,7.6,100.0
133,2026-2027,25.564,0.000,93.529,86.611,75.033,11.578,86.611,0.000,51.9,100.0
134,2026-2027,18.750,0.000,18.750,164.381,8.000,0.000,8.000,0.000,10.2,14.6
135,2026-2027,30.000,0.000,74.122,74.099,40.000,0.000,40.000,0.000,50.0,77.0
136,2026-2027,20.000,0.000,60.488,116.867,30.000,0.000,30.000,0.000,34.1,51.0
137,2026-2027,11.739,0.000,56.736,23.264,3.914,19.350,23.264,0.000,70.9,100.0
138,2026-2027,0.000,0.000,29.334,73.406,20.000,0.000,20.000,0.000,28.6,48.0
